name,isExcluded,orderProximity,memoryFactor,bookmarkFactor,totalWeight,picks,expectedPct,actualPct,delta%,lastSeen
"File 096","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 092","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 091","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 089","false","0.0000","0.2680421959121758","1","0","2","0.000","1.000","1.00","2026-05-21T18:36:08.625Z"
"File 087","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 086","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 085","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 003","false","0.0000","1","2.5","0.4249182927993988","1","0.112","0.500","0.39","2026-05-21T18:30:31.687Z"
"File 105","false","0.0000","1","1","0.3469443332443555","2","0.092","1.000","0.91","2026-05-21T18:31:14.797Z"
"File 104","false","0.0000","0.30659515098628465","1","0","1","0.000","0.500","0.50","2026-05-21T18:35:49.893Z"
"File 103","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:31:22.426Z"
"File 102","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 109","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 106","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:31:41.301Z"
"File 110","false","0.0000","0.5151650429449552","1","0.21890305055809933","1","0.058","0.500","0.44","2026-05-21T18:34:29.168Z"
"File 111","false","0.0000","1","2.5","1.062295731998497","1","0.280","0.500","0.22","2026-05-21T18:31:16.624Z"
"File 122","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 119","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 115","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 129","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:30:09.352Z"
"File 126","false","0.0000","0.7371392896287468","1","0.2557462993484634","2","0.067","1.000","0.93","2026-05-21T18:33:25.678Z"
"File 131","false","0.0000","1","2.5","1.5023130314433288","0","0.396","0.000","-0.40","never"
"File 121","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:31:51.620Z"
"File 134","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 113","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 116","false","0.0000","0.9733743629005983","1","0.41360457253842464","1","0.109","0.500","0.39","2026-05-21T18:32:13.333Z"
"File 114","false","0.0000","0.2509741870099821","1","0","2","0.000","1.000","1.00","2026-05-21T18:36:28.015Z"
"File 120","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 124","false","0.0000","1","2.5","1.5023130314433288","0","0.396","0.000","-0.40","never"
"File 123","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 136","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 130","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 157","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 154","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 153","false","0.0000","1","2.5","0.4249182927993988","1","0.112","0.500","0.39","2026-05-21T18:29:39.277Z"
"File 152","false","0.0000","1","2.5","1.5023130314433288","0","0.396","0.000","-0.40","never"
"File 151","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:30:12.546Z"
"File 145","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 144","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 206","false","0.0000","0.6048114271979728","1","0.2569954391105304","1","0.068","0.500","0.43","2026-05-21T18:34:03.179Z"
"File 143","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 197","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 142","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 187","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:31:02.279Z"
"File 141","false","0.0000","1","2.5","0.3004626062886658","3","0.079","1.500","1.42","2026-05-21T18:36:12.371Z"
"File 186","false","0.0000","1","2.5","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 185","false","0.0000","1","2.5","0.3469443332443555","2","0.092","1.000","0.91","2026-05-21T18:34:16.124Z"
"File 140","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 169","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 139","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 165","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:29:37.945Z"
"File 138","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 162","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 159","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 225","false","0.0000","0.658248290463863","1","0.2797017398220274","1","0.074","0.500","0.43","2026-05-21T18:33:50.902Z"
"File 221","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 224","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:30:26.751Z"
"File 208","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 222","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 229","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 230","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 228","false","0.0000","1","2.5","0.4249182927993988","1","0.112","0.500","0.39","2026-05-21T18:30:34.872Z"
"File 231","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 226","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 247","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 232","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 233","false","0.0000","0.3371339350846905","1","0.14325437614093","1","0.038","0.500","0.46","2026-05-21T18:35:39.391Z"
"File 252","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 248","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 236","false","0.0000","0.61529804650367","1","0.26145139548314456","1","0.069","0.500","0.43","2026-05-21T18:33:58.799Z"
"File 250","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 249","false","0.0000","0.7255868836162672","1","0.3083151398638603","1","0.081","0.500","0.42","2026-05-21T18:33:27.795Z"
"File 241","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 251","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 244","false","0.0000","0.31234796863885506","1","0.13272236559338244","1","0.035","0.500","0.46","2026-05-21T18:35:47.477Z"
"File 245","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 258","false","0.0000","0.9210953634771042","1","0.3913902693541328","1","0.103","0.500","0.40","2026-05-21T18:32:43.609Z"
"File 243","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 234","false","0.0000","1","2.5","1.062295731998497","1","0.280","0.500","0.22","2026-05-21T18:35:28.264Z"
"File 267","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 284","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 259","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:30:28.260Z"
"File 283","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 307","false","0.0000","1","2.5","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 323","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 306","false","0.0000","1","2.5","1.5023130314433288","0","0.396","0.000","-0.40","never"
"File 316","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 304","false","0.0000","0.9340423199400033","1","0.396891667991296","1","0.105","0.500","0.40","2026-05-21T18:32:37.958Z"
"File 312","false","0.0000","0.8701402412787413","1","0.36973850582021967","1","0.098","0.500","0.40","2026-05-21T18:32:56.902Z"
"File 315","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:28:44.859Z"
"File 311","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:30:58.927Z"
"File 314","false","0.0000","0.36454053224818184","1","0.15489994061908158","1","0.041","0.500","0.46","2026-05-21T18:35:30.364Z"
"File 302","false","0.0000","1","1","0.42491829279939874","1","0.112","0.500","0.39","2026-05-21T18:29:50.338Z"
"File 310","false","0.0000","1","1","0.6009252125773316","0","0.159","0.000","-0.16","never"
"File 313","false","0.9973","0.25","2.5","0","1","0.000","0.500","0.50","2026-05-21T18:36:32.147Z"
"File 309","false","1.0000","1","1","0.6948197770425396","0","0.183","0.000","-0.18","never"
"File 326","false","0.9973","1","1","0.6945625318215728","0","0.183","0.000","-0.18","never"
"File 300","false","0.9891","1","1","0.6937950171262555","0","0.183","0.000","-0.18","never"
"File 325","false","0.9756","1","1","0.6925297806379951","0","0.183","0.000","-0.18","never"
"File 308","false","0.9571","1","1","0.6907873554833177","0","0.182","0.000","-0.18","never"
"File 324","false","0.9337","0.41814535522422003","1","0.16623825050997978","2","0.044","1.000","0.96","2026-05-21T18:35:07.621Z"
"File 297","false","0.9060","0.5440770309108303","1","0.2639142558168849","1","0.070","0.500","0.43","2026-05-21T18:34:20.391Z"
"File 327","false","0.8742","1","1","0.6830091024138963","0","0.180","0.000","-0.18","never"
"File 328","false","0.8390","1","1","0.6796997257554867","0","0.179","0.000","-0.18","never"
"File 288","false","0.8007","1","1","0.6761101022752071","0","0.178","0.000","-0.18","never"
"File 291","false","0.7601","1","1","0.6722913917182056","0","0.177","0.000","-0.18","never"
"File 296","false","0.7175","1","1","0.6682959598445173","0","0.176","0.000","-0.18","never"
"File 287","false","0.6736","1","1","0.6641762019489401","0","0.175","0.000","-0.18","never"
"File 290","false","0.6290","1","1","0.659983428270823","0","0.174","0.000","-0.17","never"
"File 286","false","0.5841","1","1","0.655766843287174","0","0.173","0.000","-0.17","never"
"File 295","false","0.5394","1","2.5","0.6515726455386721","0","0.172","0.000","-0.17","never"
"File 285","false","0.4954","1","1","0.6474432684949377","0","0.171","0.000","-0.17","never"
"File 293","false","0.4525","1","1","0.6434167763646177","0","0.170","0.000","-0.17","never"
"File 337","false","0.4111","1","1","0.639526422040798","0","0.169","0.000","-0.17","never"
"File 332","false","0.3714","1","1","0.6358003678678592","0","0.168","0.000","-0.17","never"
"File 340","false","0.3337","1","1","0.44707643932529717","1","0.118","0.500","0.38","2026-05-21T18:29:31.960Z"
"File 342","false","0.2982","1","1","0.6289277731469611","0","0.166","0.000","-0.17","never"
"File 333","false","0.2650","1","1","0.6258117286407372","0","0.165","0.000","-0.17","never"
"File 348","false","0.2343","1","1","0.44047194925514543","1","0.116","0.500","0.38","2026-05-21T18:30:39.635Z"
"File 345","false","0.2059","1","1","0.6202603800090969","0","0.164","0.000","-0.16","never"
"File 329","false","0.1800","0.3306812718438191","1","0.11795510796148145","2","0.031","1.000","0.97","2026-05-21T18:35:41.226Z"
"File 334","false","0.1565","1","1","0.6156212392378041","0","0.162","0.000","-0.16","never"
"File 341","false","0.1353","0.2720433357088703","1","0","1","0.000","0.500","0.50","2026-05-21T18:36:06.813Z"
"File 346","false","0.1164","1","1","0.4326451891540929","1","0.114","0.500","0.39","2026-05-21T18:29:33.549Z"
"File 349","false","0.0995","1","2.5","0.4315266076016056","1","0.114","0.500","0.39","2026-05-21T18:34:47.029Z"
"File 330","false","0.0847","0.41007526017871343","1","0.17655340537953906","1","0.047","0.500","0.45","2026-05-21T18:35:12.549Z"
"File 386","false","0.0716","1","1","0.6076492189139032","0","0.160","0.000","-0.16","never"
"File 385","false","0.0602","0.2527554169636088","1","0","1","0.000","0.500","0.50","2026-05-21T18:36:26.535Z"
"File 384","false","0.0504","1","1","0.6056580181790638","0","0.160","0.000","-0.16","never"
"File 383","false","0.0419","0.7962679280114798","1","0.3405661559158892","1","0.090","0.500","0.41","2026-05-21T18:33:12.455Z"
"File 395","false","0.0347","0.6914894721518217","1","0.2954200108967444","1","0.078","0.500","0.42","2026-05-21T18:33:41.762Z"
"File 377","false","0.0286","1","1","0.426814855897263","1","0.113","0.500","0.39","2026-05-21T18:31:33.607Z"
"File 374","false","0.0234","1","1","0.6031205650076346","0","0.159","0.000","-0.16","never"
"File 371","false","0.0190","1","1","0.42618194700526485","1","0.112","0.500","0.39","2026-05-21T18:30:05.390Z"
"File 392","false","0.0154","1","2.5","0.4259413131723365","1","0.112","0.500","0.39","2026-05-21T18:36:21.980Z"
"File 391","false","0.0124","1","1","0.6020900688847911","0","0.159","0.000","-0.16","never"
"File 369","false","0.0099","1","1","0.601857956591738","0","0.159","0.000","-0.16","never"
"File 368","false","0.0079","0.7842623109461057","1","0.33365932520863467","1","0.088","0.500","0.41","2026-05-21T18:33:17.231Z"
"File 365","false","0.0063","0.4782010977420792","1","0.20339531907874253","1","0.054","0.500","0.45","2026-05-21T18:34:41.996Z"
"File 362","false","0.0049","1","1","0.6013885901982328","0","0.159","0.000","-0.16","never"
"File 390","false","0.0039","1","1","0.6012882014650845","0","0.159","0.000","-0.16","never"
"File 389","false","0.0030","0.28080649818492653","1","0","1","0.000","0.500","0.50","2026-05-21T18:36:02.082Z"
"File 358","false","0.0023","1","1","0.4250732265381935","1","0.112","0.500","0.39","2026-05-21T18:31:42.692Z"
"File 355","false","0.0018","0.25","1","0","1","0.000","0.500","0.50","2026-05-21T18:36:30.206Z"
"File 388","false","0.0014","1","1","0.6010546014197661","0","0.159","0.000","-0.16","never"
"File 387","false","0.0011","1","1","0.6010238269693553","0","0.159","0.000","-0.16","never"
"File 353","false","0.0008","0.4431348781208211","1","0.18831953777095659","1","0.050","0.500","0.45","2026-05-21T18:34:51.982Z"
"File 400","false","0.0006","1","1","0.6009815605596043","0","0.159","0.000","-0.16","never"
"File 398","false","0.0004","0.43467718417343115","1","0.18471527150525194","1","0.049","0.500","0.45","2026-05-21T18:34:55.982Z"
"File 399","false","0.0003","1","1","0.6009567106946727","0","0.159","0.000","-0.16","never"
"File 397","false","0.0002","1","1","0.6009485693734614","0","0.159","0.000","-0.16","never"
"File 403","false","0.0002","1","1","0.6009424375675255","0","0.159","0.000","-0.16","never"
"File 402","false","0.0001","0.6803128593808156","1","0.28908345614395153","1","0.076","0.500","0.42","2026-05-21T18:33:47.333Z"
"File 404","false","0.0001","1","1","0.6009344277086757","0","0.159","0.000","-0.16","never"
"File 427","false","0.0001","1","1","0.6009318975303993","0","0.159","0.000","-0.16","never"
"File 426","false","0.0001","1","1","0.42492170313593336","1","0.112","0.500","0.39","2026-05-21T18:30:48.353Z"
"File 424","false","0.0000","0.594427120451098","1","0.2525844117594177","1","0.067","0.500","0.43","2026-05-21T18:34:05.353Z"
"File 411","false","0.0000","1","1","0.60092696506953","0","0.159","0.000","-0.16","never"
"File 422","false","0.0000","0.39433756729740643","1","0.1675615907811622","1","0.044","0.500","0.46","2026-05-21T18:35:19.550Z"
"File 438","false","0.0000","1","1","0.42491890673412613","1","0.112","0.500","0.39","2026-05-21T18:30:55.184Z"
"File 437","false","0.0000","0.31828349100143494","1","0.13524461403451501","1","0.036","0.500","0.46","2026-05-21T18:35:46.010Z"
"File 405","false","0.0000","1","1","0.6009256333877292","0","0.159","0.000","-0.16","never"
"File 435","false","0.0000","0.8205443307345481","1","0.348664464768803","1","0.092","0.500","0.41","2026-05-21T18:33:07.449Z"
"File 436","false","0.0000","1","2.5","0.4249184338870124","1","0.112","0.500","0.39","2026-05-21T18:34:40.102Z"
"File 410","false","0.0000","0.4263466856709621","1","0.18116254689651828","1","0.048","0.500","0.45","2026-05-21T18:34:58.991Z"
"File 439","false","0.0000","1","1","0.6009253051301117","0","0.159","0.000","-0.16","never"
"File 434","false","0.0000","1","1","0.6009252750957266","0","0.159","0.000","-0.16","never"
"File 002","false","0.0000","1","1","0.4249183224974678","1","0.112","0.500","0.39","2026-05-21T18:31:09.192Z"
"File 001","false","0.0000","1","1","0.6009252406378469","0","0.159","0.000","-0.16","never"
"File 449","false","0.0000","1","1","0.42491830598348745","1","0.112","0.500","0.39","2026-05-21T18:31:35.212Z"
"File 448","false","0.0000","1","1","0.6009252248984924","0","0.159","0.000","-0.16","never"
"File 101","false","0.0000","1","1","1.2018504413498203","0","0.317","0.000","-0.32","never"
"File 406","false","0.0000","1","1","1.2018504357400261","0","0.317","0.000","-0.32","never"
"File 100","false","0.0000","0.46042439415613545","1","0.39128549729624473","1","0.103","0.500","0.40","2026-05-21T18:34:48.679Z"
"File 381","false","0.0000","1","1","1.201850429603004","0","0.317","0.000","-0.32","never"
"File 095","false","0.0000","0.9601823302769574","1","0.8159980750566842","1","0.215","0.500","0.28","2026-05-21T18:32:15.286Z"
"File 380","false","0.0000","1","1","1.2018504269834307","0","0.317","0.000","-0.32","never"
"File 094","false","0.0000","1","1","1.201850426317622","0","0.317","0.000","-0.32","never"
"File 099","false","0.0000","1","2.5","1.201850425890171","0","0.317","0.000","-0.32","never"
"File 098","false","0.0000","1","1","1.201850425617286","0","0.317","0.000","-0.32","never"
"File 097","false","0.0000","1","1","1.2018504254440532","0","0.317","0.000","-0.32","never"
"File 372","false","0.0000","1","1","1.2018504253346984","0","0.317","0.000","-0.32","never"
"File 441","false","0.0000","1","1","0.600925212633027","0","0.159","0.000","-0.16","never"
"File 440","false","0.0000","1","1","0.6009252126116026","0","0.159","0.000","-0.16","never"
"File 093","false","0.0000","0.7723459570378804","1","0.6563678510530154","1","0.173","0.500","0.33","2026-05-21T18:33:19.727Z"
"File 090","false","0.0000","1","1","1.2018504251801916","0","0.317","0.000","-0.32","never"
"File 005","false","0.0000","1","1","1.2018504251701152","0","0.317","0.000","-0.32","never"
"File 118","false","0.0000","0.2956622558129588","1","0","1","0.000","0.500","0.50","2026-05-21T18:35:55.924Z"
"File 117","false","0.0000","1","1","1.2018504251602318","0","0.317","0.000","-0.32","never"
"File 127","false","0.0000","1","1","1.2018504251579787","0","0.317","0.000","-0.32","never"
"File 112","false","0.0000","1","1","1.2018504251566264","0","0.317","0.000","-0.32","never"
"File 108","false","0.0000","1","1","1.2018504251558195","0","0.317","0.000","-0.32","never"
"File 107","false","0.0000","1","2.5","0.6938886664891019","2","0.183","1.000","0.82","2026-05-21T18:35:14.508Z"
"File 132","false","0.0000","1","1","1.2018504251550575","0","0.317","0.000","-0.32","never"
"File 128","false","0.0000","1","2.5","1.2018504251548916","0","0.317","0.000","-0.32","never"
"File 133","false","0.0000","1","1","1.2018504251547948","0","0.317","0.000","-0.32","never"
"File 019","false","0.0000","0.4517178826149696","1","0.38388638301544825","1","0.101","0.500","0.40","2026-05-21T18:34:50.491Z"
"File 013","false","0.0000","1","1","1.201850425154706","0","0.317","0.000","-0.32","never"
"File 443","false","0.0000","1","1","0.6009252125773437","0","0.159","0.000","-0.16","never"
"File 020","false","0.0000","1","1","1.2018504251546767","0","0.317","0.000","-0.32","never"
"File 018","false","0.0000","1","2.5","0.6938886664887154","2","0.183","1.000","0.82","2026-05-21T18:34:57.623Z"
"File 021","false","0.0000","1","1","1.2018504251546673","0","0.317","0.000","-0.32","never"
"File 125","false","0.0000","1","2.5","0.8498365855987992","1","0.224","0.500","0.28","2026-05-21T18:35:02.406Z"
"File 428","false","0.0000","0.49645198547941227","1","0.421903060253568","1","0.111","0.500","0.39","2026-05-21T18:34:35.863Z"
"File 012","false","0.0000","0.8827530240109831","1","0.7501958158525076","1","0.198","0.500","0.30","2026-05-21T18:32:54.876Z"
"File 022","false","0.0000","0.2608917418855863","1","0","1","0.000","0.500","0.50","2026-05-21T18:36:16.421Z"
"File 084","false","0.0000","0.34375","1","0.29213132629958666","1","0.077","0.500","0.42","2026-05-21T18:35:37.365Z"
"File 083","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 082","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 032","false","0.0000","0.8576123947206583","1","0.7288303892966125","1","0.192","0.500","0.31","2026-05-21T18:32:58.692Z"
"File 023","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 147","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:28:47.660Z"
"File 146","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 137","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 135","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 149","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 148","false","0.0000","0.5246913714526441","1","0.4459019236084654","1","0.118","0.500","0.38","2026-05-21T18:34:27.373Z"
"File 150","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 155","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 158","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 171","false","0.0000","1","2.5","0.8498365855987976","1","0.224","0.500","0.28","2026-05-21T18:30:46.867Z"
"File 156","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 170","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 160","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
